,cell num,volume cc,mass g,raw_result,raw_energy_MeV,normalised enegy-rate MeV/s
0,13,7.24547,3.19525227,0.000277641,0.000122439681,122439681000.0
1,14,7.27094,3.2064845400000004,0.000230341,0.00010158038100000001,101580381000.00002
2,13000,9.07212,4.00080492,0.000260132,0.000114718212,114718212000.0
3,14000,9.16332,4.04102412,0.000250751,0.000110581191,110581191000.0
4,13001,9.07212,4.00080492,0.000170016,7.4977056e-05,74977056000.0
5,14001,9.16332,4.04102412,0.000158838,7.004755800000001e-05,70047558000.00002
6,13002,7.24547,3.19525227,7.53892e-05,3.3246637200000006e-05,33246637200.000004
7,14002,7.27094,3.2064845400000004,8.36076e-05,3.68709516e-05,36870951600.0
8,13003,9.17295,4.04527095,0.000381123,0.00016807524299999998,168075242999.99997
9,14003,9.09185,4.00950585,0.000288305,0.000127142505,127142505000.0
10,13004,11.1469,4.9157829,0.00029198,0.00012876318,128763180000.00002
11,14004,10.9248,4.817836799999999,0.000255732,0.000112777812,112777812000.0
12,13005,11.1469,4.9157829,0.00016372,7.220052e-05,72200520000.0
13,14005,10.9248,4.817836799999999,0.000145242,6.4051722e-05,64051722000.0
14,13006,9.17295,4.04527095,9.04445e-05,3.98860245e-05,39886024500.0
15,14006,9.09185,4.00950585,0.000121146,5.3425386e-05,53425386000.0
16,13007,10.0623,4.4374743,0.00035201,0.00015523641,155236410000.0
17,14007,10.3916,4.5826956,0.000207853,9.1663173e-05,91663173000.0
18,13008,11.8969,5.2465329,0.000230414,0.000101612574,101612574000.0
19,14008,12.4309,5.4820269,0.000200716,8.8515756e-05,88515756000.0
20,13009,11.8969,5.2465329,0.00025083,0.00011061603,110616030000.0
21,14009,12.4309,5.4820269,0.000147918,6.5231838e-05,65231838000.0
22,13010,10.0623,4.4374743,0.00012844,5.664204000000001e-05,56642040000.00001
23,14010,10.3916,4.5826956,0.000114074,5.0306634000000003e-05,50306634000.0
24,13011,11.8101,5.2082541,0.000381379,0.000168188139,168188139000.0
25,14011,12.0444,5.3115803999999995,0.000246749,0.000108816309,108816309000.0
26,13012,13.985,6.1673849999999995,0.000226577,9.9920457e-05,99920457000.0
27,14012,14.2927,6.3030807,0.00024174,0.00010660734,106607340000.0
28,13013,13.985,6.1673849999999995,0.000160307,7.0695387e-05,70695387000.0
29,14013,14.2927,6.3030807,0.000176581,7.7872221e-05,77872221000.0
30,13014,11.8101,5.2082541,8.58139e-05,3.7843929899999996e-05,37843929899.99999
31,14014,12.0444,5.3115803999999995,9.93008e-05,4.3791652800000004e-05,43791652800.00001
32,13015,9.39415,4.14282015,0.00014932,6.585012e-05,65850120000.0
33,14015,8.81865,3.88902465,0.000116189,5.1239348999999996e-05,51239349000.0
34,13016,11.4079,5.0308839,0.00018215,8.032815e-05,80328150000.0
35,14016,10.881,4.798521,0.000141775,6.2522775e-05,62522775000.0
36,13017,11.4079,5.0308839,0.000145059,6.3971019e-05,63971019000.00001
37,14017,10.881,4.798521,9.4761e-05,4.1789601e-05,41789601000.0
38,13018,9.39415,4.14282015,5.38517e-05,2.37485997e-05,23748599700.0
39,14018,8.81865,3.88902465,6.69096e-05,2.9507133599999997e-05,29507133599.999996
40,13019,5.89094,2.59790454,8.38481e-05,3.69770121e-05,36977012100.0
41,14019,5.95142,2.62457622,8.45298e-05,3.72776418e-05,37277641800.0
42,13020,7.38288,3.25585008,4.73653e-05,2.08880973e-05,20888097300.0
43,14020,7.54494,3.3273185400000003,6.81322e-05,3.0046300200000004e-05,30046300200.000004
44,13021,7.38288,3.25585008,6.83798e-05,3.01554918e-05,30155491800.0
45,14021,7.54494,3.3273185400000003,5.77022e-05,2.54466702e-05,25446670200.0
46,13022,5.89094,2.59790454,2.82811e-05,1.24719651e-05,12471965100.0
47,14022,5.95142,2.62457622,4.75946e-05,2.09892186e-05,20989218600.0
