,cell num,volume cc,mass g,raw_result,raw_energy_MeV,normalised enegy-rate MeV/s
0,13,7.24547,3.19525227,0.00206231,0.00090947871,909478710000.0
1,14,7.27094,3.2064845400000004,0.00198412,0.00087499692,874996920000.0
2,13000,9.07212,4.00080492,0.00223289,0.00098470449,984704490000.0001
3,14000,9.16332,4.04102412,0.0021495,0.0009479295,947929500000.0
4,13001,9.07212,4.00080492,0.00183485,0.00080916885,809168850000.0
5,14001,9.16332,4.04102412,0.00176128,0.00077672448,776724480000.0
6,13002,7.24547,3.19525227,0.00109015,0.00048075615,480756150000.0
7,14002,7.27094,3.2064845400000004,0.00107049,0.00047208608999999994,472086089999.99994
8,13003,9.17295,4.04527095,0.00274576,0.00121088016,1210880160000.0
9,14003,9.09185,4.00950585,0.002655,0.001170855,1170855000000.0
10,13004,11.1469,4.9157829,0.00300186,0.00132382026,1323820260000.0
11,14004,10.9248,4.817836799999999,0.0029116,0.0012840155999999999,1284015600000.0
12,13005,11.1469,4.9157829,0.00248487,0.00109582767,1095827670000.0001
13,14005,10.9248,4.817836799999999,0.00240497,0.00106059177,1060591770000.0
14,13006,9.17295,4.04527095,0.0015278,0.0006737598,673759800000.0
15,14006,9.09185,4.00950585,0.0014777,0.0006516657,651665700000.0
16,13007,10.0623,4.4374743,0.0029415,0.0012972015,1297201500000.0
17,14007,10.3916,4.5826956,0.00283178,0.00124881498,1248814980000.0
18,13008,11.8969,5.2465329,0.00326806,0.00144121446,1441214460000.0
19,14008,12.4309,5.4820269,0.00316328,0.00139500648,1395006480000.0
20,13009,11.8969,5.2465329,0.00275905,0.00121674105,1216741050000.0
21,14009,12.4309,5.4820269,0.00265644,0.00117149004,1171490040000.0
22,13010,10.0623,4.4374743,0.00172908,0.0007625242800000001,762524280000.0001
23,14010,10.3916,4.5826956,0.00167619,0.0007391997899999999,739199790000.0
24,13011,11.8101,5.2082541,0.0031126,0.0013726566,1372656600000.0
25,14011,12.0444,5.3115803999999995,0.00299941,0.00132273981,1322739810000.0
26,13012,13.985,6.1673849999999995,0.00354101,0.00156158541,1561585410000.0
27,14012,14.2927,6.3030807,0.00344178,0.00151782498,1517824980000.0
28,13013,13.985,6.1673849999999995,0.00300622,0.00132574302,1325743020000.0
29,14013,14.2927,6.3030807,0.00292418,0.00128956338,1289563380000.0
30,13014,11.8101,5.2082541,0.00191357,0.0008438843700000001,843884370000.0001
31,14014,12.0444,5.3115803999999995,0.00187658,0.0008275717800000001,827571780000.0001
32,13015,9.39415,4.14282015,0.00200436,0.0008839227600000001,883922760000.0001
33,14015,8.81865,3.88902465,0.00193998,0.00085553118,855531180000.0
34,13016,11.4079,5.0308839,0.00237028,0.0010452934800000001,1045293480000.0001
35,14016,10.881,4.798521,0.00231007,0.00101874087,1018740870000.0
36,13017,11.4079,5.0308839,0.0020303,0.0008953623,895362300000.0
37,14017,10.881,4.798521,0.00199288,0.00087886008,878860080000.0
38,13018,9.39415,4.14282015,0.00129823,0.00057251943,572519430000.0
39,14018,8.81865,3.88902465,0.00127372,0.0005617105200000001,561710520000.0001
40,13019,5.89094,2.59790454,0.00106807,0.00047101886999999996,471018869999.99994
41,14019,5.95142,2.62457622,0.00103974,0.00045852534,458525340000.0
42,13020,7.38288,3.25585008,0.00129362,0.0005704864200000001,570486420000.0001
43,14020,7.54494,3.3273185400000003,0.00128422,0.00056634102,566341020000.0
44,13021,7.38288,3.25585008,0.00113463,0.00050037183,500371830000.00006
45,14021,7.54494,3.3273185400000003,0.00112465,0.00049597065,495970650000.0
46,13022,5.89094,2.59790454,0.000707855,0.00031216405499999997,312164055000.0
47,14022,5.95142,2.62457622,0.000695549,0.00030673710899999996,306737108999.99994
