,cell num,volume cc,mass g,raw_result,raw_energy_MeV,normalised enegy-rate MeV/s
0,13,7.24547,3.19525227,0.000178843,7.886976300000001e-05,78869763000.0
1,14,7.27094,3.2064845400000004,0.000173926,7.6701366e-05,76701366000.0
2,13000,9.07212,4.00080492,0.000111429,4.9140189000000004e-05,49140189000.00001
3,14000,9.16332,4.04102412,0.000119993,5.2916913000000004e-05,52916913000.0
4,13001,9.07212,4.00080492,9.02218e-05,3.97878138e-05,39787813800.0
5,14001,9.16332,4.04102412,7.06197e-05,3.11432877e-05,31143287700.000004
6,13002,7.24547,3.19525227,4.8886e-05,2.1558726e-05,21558726000.0
7,14002,7.27094,3.2064845400000004,5.44242e-05,2.40010722e-05,24001072200.0
8,13003,9.17295,4.04527095,0.000167156,7.3715796e-05,73715796000.0
9,14003,9.09185,4.00950585,0.000162341,7.159238100000001e-05,71592381000.00002
10,13004,11.1469,4.9157829,0.000143826,6.3427266e-05,63427265999.99999
11,14004,10.9248,4.817836799999999,0.000123045,5.426284500000001e-05,54262845000.00001
12,13005,11.1469,4.9157829,0.000109407,4.8248487e-05,48248487000.0
13,14005,10.9248,4.817836799999999,9.03912e-05,3.98625192e-05,39862519200.0
14,13006,9.17295,4.04527095,6.48475e-05,2.8597747500000002e-05,28597747500.000004
15,14006,9.09185,4.00950585,4.76327e-05,2.10060207e-05,21006020700.0
16,13007,10.0623,4.4374743,0.000168073,7.4120193e-05,74120193000.0
17,14007,10.3916,4.5826956,0.000175169,7.7249529e-05,77249529000.0
18,13008,11.8969,5.2465329,0.000134537,5.9330817000000004e-05,59330817000.00001
19,14008,12.4309,5.4820269,0.000137277,6.0539157e-05,60539157000.0
20,13009,11.8969,5.2465329,0.000102588,4.5241308e-05,45241308000.0
21,14009,12.4309,5.4820269,8.74877e-05,3.8582075700000004e-05,38582075700.00001
22,13010,10.0623,4.4374743,5.50355e-05,2.42706555e-05,24270655500.0
23,14010,10.3916,4.5826956,5.27807e-05,2.32762887e-05,23276288700.0
24,13011,11.8101,5.2082541,0.000225341,9.9375381e-05,99375381000.0
25,14011,12.0444,5.3115803999999995,0.000183245,8.0811045e-05,80811045000.0
26,13012,13.985,6.1673849999999995,0.00015545,6.855345000000001e-05,68553450000.00001
27,14012,14.2927,6.3030807,0.000181899,8.021745899999999e-05,80217458999.99998
28,13013,13.985,6.1673849999999995,0.000112969,4.9819329e-05,49819329000.0
29,14013,14.2927,6.3030807,0.000122898,5.4198018e-05,54198018000.0
30,13014,11.8101,5.2082541,6.9774e-05,3.0770334e-05,30770334000.0
31,14014,12.0444,5.3115803999999995,6.67534e-05,2.9438249400000003e-05,29438249400.000004
32,13015,9.39415,4.14282015,0.000139294,6.142865400000001e-05,61428654000.00001
33,14015,8.81865,3.88902465,0.000143054,6.3086814e-05,63086814000.0
34,13016,11.4079,5.0308839,0.000112662,4.9683942e-05,49683942000.0
35,14016,10.881,4.798521,0.000108069,4.7658429e-05,47658429000.0
36,13017,11.4079,5.0308839,7.23276e-05,3.18964716e-05,31896471600.0
37,14017,10.881,4.798521,7.42127e-05,3.2727800699999996e-05,32727800699.999996
38,13018,9.39415,4.14282015,5.65463e-05,2.49369183e-05,24936918300.0
39,14018,8.81865,3.88902465,4.33562e-05,1.91200842e-05,19120084200.0
40,13019,5.89094,2.59790454,7.77788e-05,3.4300450800000004e-05,34300450800.000004
41,14019,5.95142,2.62457622,9.23992e-05,4.0748047199999995e-05,40748047199.99999
42,13020,7.38288,3.25585008,6.1157e-05,2.6970237e-05,26970237000.0
43,14020,7.54494,3.3273185400000003,6.93801e-05,3.05966241e-05,30596624100.0
44,13021,7.38288,3.25585008,5.66947e-05,2.50023627e-05,25002362700.0
45,14021,7.54494,3.3273185400000003,4.68456e-05,2.06589096e-05,20658909600.0
46,13022,5.89094,2.59790454,3.02695e-05,1.3348849499999999e-05,13348849499.999998
47,14022,5.95142,2.62457622,2.2778e-05,1.0045098000000001e-05,10045098000.000002
